Date,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210416,Total,4434138,Dose 1,10592,0.238873936715547,2725123,61.4577850305967,18 years and over
20210416,Total,2183051,Dose 1,4932,0.225922344461948,2132065,97.6644613433218,50 years and over
20210416,Total,4541903,Dose 2,24189,,735479,,16 years and over
20210416,Total,4434138,Dose 2,24158,0.5448184066440871,734761,16.5705487740797,18 years and over
20210416,Total,2183051,Dose 2,20997,0.96181903217103,546018,25.0116923516675,50 years and over
20210417,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,152,,8993,,16 years and over
20210417,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210417,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,6815,,896401,,16 years and over
20210417,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,6369,,440447,,16 years and over
20210417,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,3825,,1837805,,16 years and over
20210417,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,22772,,324173,,16 years and over
20210417,Total,4541903,Dose 1,10792,,2743199,,16 years and over
20210417,Total,4434138,Dose 1,10290,0.23206314282505397,2735413,61.689848173421794,18 years and over
20210417,Total,2183051,Dose 1,2618,0.119923904663702,2134683,97.7843852479855,50 years and over
20210417,Total,4541903,Dose 2,29141,,764620,,16 years and over
20210417,Total,4434138,Dose 2,29125,0.6568356690748011,763886,17.2273844431545,18 years and over
20210417,Total,2183051,Dose 2,26982,1.23597662170971,573000,26.2476689733772,50 years and over
20210418,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,150,,9143,,16 years and over
20210418,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210418,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,1413,,897814,,16 years and over
20210418,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,5163,,445610,,16 years and over
20210418,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,1408,,1839213,,16 years and over
20210418,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,6087,,330260,,16 years and over
20210418,Total,4541903,Dose 1,2971,,2746170,,16 years and over
20210418,Total,4434138,Dose 1,2947,0.0664616211764271,2738360,61.75630979459821,18 years and over
20210418,Total,2183051,Dose 1,785,0.0359588484190246,2135468,97.8203440964045,50 years and over
20210418,Total,4541903,Dose 2,11250,,775870,,16 years and over
20210418,Total,4434138,Dose 2,11248,0.253668243974364,775134,17.481052687128802,18 years and over
20210418,Total,2183051,Dose 2,10151,0.464991427135692,583151,26.7126604005129,50 years and over
20210419,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,473,,9616,,16 years and over
20210419,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210419,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,1062,,898876,,16 years and over
20210419,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,25049,,470659,,16 years and over
20210419,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,767,,1839980,,16 years and over
20210419,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,19871,,350131,,16 years and over
20210419,Total,4541903,Dose 1,2302,,2748472,,16 years and over
20210419,Total,4434138,Dose 1,2287,0.0515771047270067,2740647,61.8078868993252,18 years and over
20210419,Total,2183051,Dose 1,783,0.0358672335185939,2136251,97.8562113299231,50 years and over
20210419,Total,4541903,Dose 2,44920,,820790,,16 years and over
20210419,Total,4434138,Dose 2,44905,1.0127109260018499,820039,18.4937636131307,18 years and over
20210419,Total,2183051,Dose 2,42808,1.96092532881733,625959,28.673585729330203,50 years and over
20210420,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,397,,10013,,16 years and over
20210420,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210420,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,921,,899797,,16 years and over
20210420,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,26844,,497503,,16 years and over
20210420,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,815,,1840795,,16 years and over
20210420,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,24785,,374916,,16 years and over
20210420,Total,4541903,Dose 1,2133,,2750605,,16 years and over
20210420,Total,4434138,Dose 1,2116,0.0477206618287478,2742763,61.855607561153896,18 years and over
20210420,Total,2183051,Dose 1,658,0.0301413022416792,2136909,97.8863526321648,50 years and over
20210420,Total,4541903,Dose 2,51629,,872419,,16 years and over
20210420,Total,4434138,Dose 2,51557,1.16272880997389,871596,19.656492423104602,18 years and over
20210420,Total,2183051,Dose 2,48815,2.2360906822607403,674774,30.9096764115909,50 years and over
20210421,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,393,,10406,,16 years and over
