date,Testing - New cases as percentage of people newly tested
2020-08-27,0.00421626984126984
2020-08-28,0.00569832402234637
2020-08-29,0.00711226056736442
2020-08-30,0.00761374187558032
2020-08-31,0.00941453368637835
2020-09-01,0.0121364961777918
2020-09-02,0.00982305900132233
2020-09-03,0.0112975391498881
2020-09-04,0.0155958803334968
2020-09-05,0.0154469763365469
2020-09-06,0.0225230102869518
2020-09-07,0.0239030779305828
2020-09-08,0.0227920227920228
2020-09-09,0.0192563885188325
2020-09-10,0.0185206487978834
2020-09-11,0.0271023695214496
2020-09-12,0.0280207937111703
2020-09-13,0.0373831775700935
2020-09-14,0.026697177726926
2020-09-15,0.0360226659471128
2020-09-16,0.0363314736698871
2020-09-17,0.0397532556545579
2020-09-18,0.0437594309118345
2020-09-19,0.0527664706769184
2020-09-20,0.0544202576632608
2020-09-21,0.0634328358208955
