Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,lambda,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym,total_deaths_mean,total_deaths_variance
141,0.095379566,0.857224824,53.44042135,0.547237633,0.092104932,0.980657183,1,0.000898465,12.92702318,0.038915327,0.27397417,4.026797036,7.394529752,31.18747152,10000,0.433271969,5206.813,5337.898031
142,0.65111982,0.965186339,46.37169417,0.797748132,0.181505137,0.153753978,1,9.24e-05,10.27862787,0.524004251,7.438699494,13.37644467,7.796568006,11.61819309,10000,0.667174884,17421.636,17118.593504
143,0.126511857,0.856003424,17.27988866,0.07828996,0.660835261,0.173899724,1,0.00097584,0.590925634,0.933020263,10.80269091,26.17633656,8.127294933,14.30399656,10000,0.180774366,15644.426,16897.818524
144,0.735483871,0.993921361,57.78981643,0.302857324,0.863784709,0.482767304,1,0.000591729,1.341415329,0.496919049,19.97917121,25.33397415,6.609357844,5.669111157,10000,0.513653223,53456.085,55422.367775
145,0.539271945,0.027253237,22.4665522,0.340103421,0.595196931,0.285878885,1,0.000199646,13.9891328,0.631862806,0.470778678,22.92904788,2.276553046,23.99834879,10000,0.838450613,32058.719,31588.802039
146,0.797151129,0.364890553,74.31558384,0.328030106,0.00533807,0.496050494,1,8.04e-05,13.59536297,0.734202065,12.8672851,8.586622658,12.28132685,6.914976417,10000,0.149604963,55204.432,54476.621376
147,0.926160592,0.603637409,12.88669945,0.375116934,0.634401302,0.797582885,1,5.49e-06,13.04919286,0.724708413,1.922066758,18.54917209,1.319962472,7.316558966,10000,0.593788907,88105.677,80980.546671
148,0.211633478,0.835652568,5.337520228,0.184001692,0.69007208,0.392507054,1,0.000168019,5.208215214,0.500303993,18.30254348,4.958427369,3.24215898,21.34642126,10000,0.83218383,42903.444,41690.214864
149,0.792636092,0.81927146,56.68122422,0.824975153,0.697264591,0.887327949,1,0.000951417,8.867028331,0.121594337,6.684154917,7.706732192,4.303205527,19.25861247,10000,0.960786444,97240.2,80194.616
150,0.007656001,0.233738092,57.37499464,0.496053328,0.903740826,0.405148474,1,0.000585681,4.35993264,0.249951205,20.15736771,19.035669,13.5091666,13.10864517,10000,0.651755963,1001.285,990.627775
151,0.324182079,0.984394287,44.17808481,0.595705086,0.373771383,0.793725115,1,1.02e-05,8.950678055,0.981618103,19.1531961,27.64384925,6.746713656,9.254832734,10000,0.987555556,87907.877,81529.155871
152,0.491227588,0.942292717,6.640246568,0.286542294,0.560720352,0.767064473,1,0.000326376,10.24422087,0.192794481,11.64024801,16.29975469,13.12798871,9.5756591,10000,0.209655249,84177.14,78669.00640000001
153,0.225959016,0.795908837,23.44627207,0.902908296,0.457870469,0.7496013,1,0.00061085,12.42836659,0.541933509,19.41647183,20.1641766,6.24694763,32.44836234,10000,0.409338703,75724.999,69413.48099899999
154,0.993395726,0.03703222,46.85410695,0.429746819,0.158587172,0.516973224,1,0.000212566,9.211469824,0.437838024,10.09108375,13.72931848,2.625652725,11.88465489,10000,0.796251016,57131.936,60251.541904
155,0.609797695,0.843436252,73.26959576,0.436604172,0.768536947,0.814745711,1,0.000159264,1.547551044,0.286691015,1.647443686,19.10803647,12.37977705,15.58477845,10000,0.223118614,87798.781,84440.86303899999
156,0.518467671,0.913591809,24.07277845,0.451347595,0.567025348,0.019583663,1,0.000270231,6.653617379,0.427942908,14.50462998,23.31717627,10.8909747,21.95919551,10000,0.691275835,2684.981,2802.6786389999997
157,0.482745822,0.059130734,1.699725476,0.920944216,0.135182597,0.102668507,1,0.000561617,9.362179977,0.194341507,18.13519511,17.7657841,5.803464936,12.63120765,10000,0.54605087,11126.324,11383.561024
158,0.464055414,0.762783175,32.19803895,0.719557571,0.890760631,0.656394616,1,0.000718633,10.01425225,0.162876121,0.15348893,17.6793183,2.926105848,4.865585115,10000,0.603596014,64870.152,61793.988896
159,0.871180799,0.013540673,19.15435842,0.948082756,0.347904526,0.73998483,1,0.000155222,7.179563134,0.607281052,3.142564905,10.58213234,7.219414759,25.44578428,10000,0.138125716,79023.302,72562.01679600001
