local authority,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S12000036,4968,4941,5055,5105,5240,5291,5201,5584,5023,5235,5116,4708,4511,4295,4147,4081,4213,4152,5022,7028,8082,8655,9094,9185,9644,10034,11073,11848,11248,11246,10534,9824,9417,9376,8790,8731,8492,7852,7789,7461,6795,6698,6461,6497,6428,6394,6671,6655,6147,6364,6462,6513,6353,6512,6409,6497,6104,6065,5828,5677,5563,5393,5100,4774,4789,4620,4548,4379,4459,4492,4433,4969,3564,3344,3261,3090,2792,2618,2635,2557,2528,2327,2283,2089,1881,1735,1602,1546,1216,1039,4053
S12000038,1754,1773,1815,1786,1894,1976,1983,2001,1898,1909,2009,1879,1937,1906,1854,1797,1815,1918,1902,1893,2017,2156,2112,2147,2256,2303,2471,2361,2349,2241,2408,2442,2194,2258,2213,2412,2239,2414,2181,2102,1947,1872,1961,2101,2126,2231,2397,2563,2705,2668,2812,2810,2819,2917,2811,2733,2800,2815,2576,2575,2528,2338,2222,2130,2070,1980,1862,1999,1871,1951,1913,2173,1565,1560,1572,1375,1283,1238,1136,1158,1090,1025,947,887,780,631,598,536,468,370,1320
S12000039,867,909,963,929,958,1032,1053,1050,1034,1056,1051,1008,955,982,938,920,894,901,952,955,990,1023,1028,1092,1109,1166,1202,1200,1156,1101,1139,1153,1187,1149,1015,1110,1098,1180,999,1040,909,941,1010,959,1008,1126,1132,1258,1241,1393,1372,1399,1459,1462,1476,1476,1372,1408,1316,1320,1345,1227,1261,1172,1117,1031,996,1008,988,964,1077,1008,826,745,729,671,631,575,588,590,485,465,448,387,362,327,304,245,211,193,573
S12000040,1915,2018,2043,2159,2222,2226,2239,2439,2278,2445,2437,2327,2277,2253,2158,2049,2089,2111,1977,1983,1885,2035,2076,2134,2285,2185,2112,2180,2131,2158,2410,2443,2395,2375,2429,2494,2474,2507,2393,2379,2184,2222,2358,2454,2517,2657,2809,2850,2804,2886,2960,2876,2780,2938,2715,2754,2652,2613,2469,2442,2264,2125,2046,1887,1943,1887,1810,1805,1786,1858,1963,1988,1524,1422,1361,1337,1238,1097,1033,1029,932,800,756,677,599,471,522,400,298,256,961
S12000041,1005,1080,1099,1143,1225,1217,1245,1217,1255,1264,1316,1203,1210,1268,1260,1246,1201,1305,1245,1138,1149,1246,1202,1192,1302,1237,1195,1211,1085,1148,1247,1239,1277,1197,1230,1305,1402,1282,1338,1308,1219,1196,1280,1279,1380,1557,1547,1584,1610,1759,1641,1755,1768,1831,1792,1844,1878,1701,1765,1693,1587,1598,1545,1484,1525,1602,1436,1535,1556,1619,1709,1832,1293,1264,1269,1170,1052,955,990,853,869,811,729,683,600,517,526,473,396,298,1251
S12000042,1460,1531,1488,1562,1469,1639,1703,1615,1473,1575,1506,1459,1377,1458,1357,1344,1340,1387,1831,2499,2881,2973,2717,2506,2501,2717,3089,3003,2902,2624,2532,2426,2126,2260,2075,1923,1990,1892,1681,1610,1502,1503,1537,1452,1392,1513,1638,1817,1719,1813,1845,1774,1898,2010,1907,1991,1992,1995,1907,1828,1857,1825,1587,1526,1434,1478,1391,1376,1428,1428,1520,1707,1216,1123,1092,1015,987,904,936,917,916,780,775,718,723,571,538,482,410,368,1188
S12000045,990,1111,1089,1175,1254,1215,1179,1351,1255,1273,1250,1191,1241,1259,1232,1159,1178,1225,1185,1146,1144,1090,1231,1158,1223,1180,1217,1117,1060,1042,1045,965,1030,1038,1046,1076,1119,1188,1204,1254,1129,1184,1231,1234,1255,1390,1506,1604,1570,1577,1563,1696,1632,1768,1745,1720,1757,1688,1574,1688,1553,1568,1462,1430,1354,1383,1236,1291,1339,1331,1342,1469,1081,1085,1098,1042,868,859,888,879,832,843,683,683,632,533,509,405,380,294,1082
S12000047,3503,3629,3797,4027,4000,4093,4190,4427,4315,4347,4299,4063,4090,3973,3931,3789,3677,3938,4012,4881,4833,4960,4876,4626,4638,4471,4513,4398,4392,4419,4357,4178,4280,4176,4123,4298,4454,4462,4464,4421,4097,4066,4320,4373,4480,4780,5080,5351,5191,5530,5620,5673,5498,5692,5645,5541,5438,5260,5382,5198,5079,4864,4717,4567,4558,4375,4262,4395,4398,4533,4725,5185,3757,3621,3585,3280,3046,2573,2640,2506,2341,2213,2028,1803,1610,1485,1257,1083,988,868,3033
S12000048,1239,1269,1413,1518,1458,1516,1565,1633,1567,1675,1622,1616,1480,1633,1603,1618,1587,1735,1648,1455,1442,1452,1557,1516,1743,1811,1676,1750,1461,1537,1671,1648,1669,1721,1825,1744,1719,1823,1685,1706,1590,1597,1637,1598,1763,1839,2096,2091,2085,2209,2330,2373,2382,2480,2449,2477,2282,2261,2051,2218,2190,2089,2030,2011,1957,2109,1928,1928,1973,1976,2014,2225,1716,1541,1527,1524,1386,1207,1273,1248,1109,1041,967,934,794,713,729,645,528,439,1725
S12000049,6574,6770,6740,6802,6760,6716,6918,6879,6104,6231,6055,5742,5562,5436,5333,5316,5323,5900,6693,8343,9464,10157,10730,11265,11780,13035,14663,14277,13510,13428,12834,12033,11684,11246,10433,10478,9898,9517,9182,8556,7707,7043,7390,7136,7048,7276,7690,7904,7907,8267,8345,8090,8233,8279,8360,8303,8259,7875,7419,7301,7011,6698,6559,6029,5649,5253,5052,4985,4813,4763,4821,5041,3803,3655,3617,3408,3136,2972,3007,2934,2785,2597,2343,2346,1967,1818,1683,1485,1249,947,3785
S12000050,3508,3488,3773,3791,3769,3891,3998,4115,4056,4218,4230,4103,4007,4055,4049,3904,3786,3895,3836,4125,3991,4290,4116,4054,4121,4181,4370,4265,4064,4105,4349,4186,4357,4344,4335,4461,4531,4692,4615,4362,4117,3864,4470,4317,4337,4592,4980,5039,5065,5317,5380,5370,5287,5465,5225,5134,5164,4825,4659,4497,4483,4274,4111,3941,3877,3792,3586,3447,3582,3567,3569,3674,2858,2660,2695,2626,2286,2035,2097,2064,1944,1629,1578,1372,1182,1118,952,779,632,554,1726
