datazone,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01013267,4,5,5,1,2,7,8,5,0,5,10,6,7,5,5,7,9,6,8,11,6,7,5,7,9,2,2,7,4,4,5,10,1,1,6,5,5,5,7,6,3,7,4,10,9,10,10,8,13,9,5,11,9,9,10,9,9,13,9,4,4,9,8,8,4,10,7,7,7,6,7,11,5,7,4,9,8,6,2,6,0,1,4,5,4,6,7,4,1,1,11
S01013268,11,8,10,3,10,2,11,11,13,9,15,16,9,11,10,11,15,10,6,10,9,11,14,9,5,5,8,3,7,18,19,9,14,10,7,14,6,14,12,7,16,10,10,14,13,18,7,12,7,14,11,16,5,11,15,7,11,6,10,16,19,7,14,16,10,9,9,13,7,17,9,10,1,5,3,6,8,3,5,5,2,1,4,4,2,1,2,0,2,0,4
S01013269,15,7,9,14,13,19,4,18,7,12,16,16,12,15,15,15,15,11,11,14,7,15,11,11,10,9,16,15,17,15,19,17,10,17,15,28,11,6,9,21,12,16,8,11,12,11,19,21,23,12,18,24,19,21,22,14,20,16,15,21,18,12,21,15,7,12,9,7,8,13,11,9,8,4,4,8,3,7,8,7,3,1,1,1,2,0,1,0,0,0,0
S01013270,6,10,3,11,9,8,9,12,12,10,11,12,15,10,11,11,17,13,16,14,14,14,8,14,11,9,2,9,4,5,4,5,3,4,10,11,14,12,7,10,11,14,6,5,16,14,12,21,14,21,22,15,25,16,20,22,16,21,15,7,16,9,7,17,11,10,8,3,5,5,3,1,4,11,2,5,2,4,2,2,1,0,2,3,3,1,2,1,0,1,0
S01013271,3,1,6,6,3,4,4,4,4,10,6,8,5,4,6,5,6,3,2,8,3,5,2,8,6,3,2,3,2,0,2,0,6,4,3,7,0,7,5,2,3,8,7,11,5,10,11,15,9,8,13,4,14,6,13,13,7,9,9,7,13,13,11,16,11,10,11,13,11,8,13,12,10,4,11,6,7,5,7,12,5,4,4,5,1,0,2,1,3,0,6
S01013272,6,7,7,9,11,7,4,8,3,12,9,7,9,15,13,13,17,17,11,8,7,16,11,5,10,7,6,10,4,7,9,8,3,5,5,6,10,13,12,4,7,8,9,10,4,17,16,16,16,17,24,16,16,14,21,11,26,20,16,13,16,13,4,8,10,7,6,7,4,5,4,1,3,3,2,4,3,1,4,0,0,3,1,0,1,1,0,0,1,1,1
S01013273,5,8,8,4,5,15,9,17,22,13,17,22,17,16,21,25,23,19,17,25,6,7,9,9,8,4,12,7,8,11,7,6,3,7,6,5,14,17,17,14,13,13,19,16,17,19,28,24,24,29,21,25,18,16,21,15,18,15,13,15,6,5,11,9,2,5,2,2,2,0,3,3,0,0,1,4,1,3,2,1,2,6,2,1,0,1,0,2,0,0,1
S01013274,6,6,9,4,15,5,7,1,6,6,5,3,6,5,9,3,2,7,6,4,10,12,13,7,13,13,7,16,17,5,11,13,16,6,8,5,10,4,7,10,12,15,5,7,12,8,12,8,10,7,11,15,14,26,5,17,14,10,16,8,11,12,11,15,14,16,16,10,9,21,12,9,2,7,7,9,7,10,8,2,1,1,2,3,4,1,2,2,0,1,6
S01013275,2,6,4,7,13,9,8,16,11,10,9,10,10,5,16,4,13,10,8,7,5,11,13,4,5,6,2,11,5,6,5,6,6,8,8,11,5,9,7,9,7,13,8,9,13,4,8,12,18,9,4,14,17,11,8,4,8,17,8,5,14,9,7,11,10,8,9,18,16,13,11,17,4,10,4,8,6,4,3,4,5,4,3,11,2,2,6,0,3,4,12
S01013276,6,1,9,5,11,10,5,3,5,5,9,7,5,12,5,7,5,5,11,12,12,8,12,7,5,8,6,12,8,2,6,3,4,4,3,3,6,4,10,5,3,9,7,13,14,11,15,10,9,16,9,12,19,7,15,14,10,11,15,9,9,7,6,6,11,12,11,4,5,7,8,8,6,3,6,4,4,1,4,1,2,1,0,2,1,1,0,1,1,0,3
S01013277,6,12,8,18,19,14,12,11,13,13,13,7,8,10,13,12,11,14,8,11,8,12,10,22,10,19,13,6,13,0,15,6,0,6,13,6,18,8,14,4,8,12,10,10,12,17,12,9,16,13,24,10,15,8,17,5,12,11,15,16,11,13,15,10,10,13,9,12,8,13,7,6,9,4,3,3,8,3,6,4,8,9,4,1,5,0,2,0,0,1,1
S01013278,6,8,9,11,6,17,11,11,6,8,8,3,7,13,15,17,14,22,13,8,6,16,10,13,9,11,7,6,4,6,16,11,10,9,7,14,0,11,5,13,13,15,12,10,22,10,13,11,4,13,9,14,10,16,4,7,9,5,6,14,7,9,10,12,8,4,17,5,7,5,11,7,9,4,3,3,6,10,6,9,8,4,9,8,1,1,9,6,8,6,27
